FIPS,county,state,abb
 39115,Morgan,Ohio,OH
 39119,Muskingum,Ohio,OH
 39121,Noble,Ohio,OH
 39127,Perry,Ohio,OH
 39131,Pike,Ohio,OH
 39141,Ross,Ohio,OH
 39145,Scioto,Ohio,OH
 39155,Trumbull,Ohio,OH
 39157,Tuscarawas,Ohio,OH
 39163,Vinton,Ohio,OH
 39167,Washington,Ohio,OH
 42003,Allegheny,Pennsylvania,PA
 42005,Armstrong,Pennsylvania,PA
 42007,Beaver,Pennsylvania,PA
 42009,Bedford,Pennsylvania,PA
 42013,Blair,Pennsylvania,PA
 42015,Bradford,Pennsylvania,PA
 42019,Butler,Pennsylvania,PA
 42021,Cambria,Pennsylvania,PA
 42023,Cameron,Pennsylvania,PA
 42025,Carbon,Pennsylvania,PA
 42027,Centre,Pennsylvania,PA
 42031,Clarion,Pennsylvania,PA
 42033,Clearfield,Pennsylvania,PA
 42035,Clinton,Pennsylvania,PA
 42037,Columbia,Pennsylvania,PA
 42039,Crawford,Pennsylvania,PA
 42047,Elk,Pennsylvania,PA
 42049,Erie,Pennsylvania,PA
 42051,Fayette,Pennsylvania,PA
 42053,Forest,Pennsylvania,PA
 42057,Fulton,Pennsylvania,PA
 42059,Greene,Pennsylvania,PA
 42061,Huntingdon,Pennsylvania,PA
 42063,Indiana,Pennsylvania,PA
 42065,Jefferson,Pennsylvania,PA
 42067,Juniata,Pennsylvania,PA
 42069,Lackawanna,Pennsylvania,PA
 42073,Lawrence,Pennsylvania,PA
 42079,Luzerne,Pennsylvania,PA
 42081,Lycoming,Pennsylvania,PA
 42083,McKean,Pennsylvania,PA
 42085,Mercer,Pennsylvania,PA
 42087,Mifflin,Pennsylvania,PA
 42089,Monroe,Pennsylvania,PA
 42093,Montour,Pennsylvania,PA
 42097,Northumberland,Pennsylvania,PA
 42099,Perry,Pennsylvania,PA
 42103,Pike,Pennsylvania,PA
 42105,Potter,Pennsylvania,PA
 42107,Schuylkill,Pennsylvania,PA
 42109,Snyder,Pennsylvania,PA
 42111,Somerset,Pennsylvania,PA
 42113,Sullivan,Pennsylvania,PA
 42115,Susquehanna,Pennsylvania,PA
 42117,Tioga,Pennsylvania,PA
 42119,Union,Pennsylvania,PA
 42121,Venango,Pennsylvania,PA
 42123,Warren,Pennsylvania,PA
 42125,Washington,Pennsylvania,PA
 42127,Wayne,Pennsylvania,PA
 42129,Westmoreland,Pennsylvania,PA
 42131,Wyoming,Pennsylvania,PA
 45007,Anderson,South Carolina,SC
 45021,Cherokee,South Carolina,SC
 45045,Greenville,South Carolina,SC
 45073,Oconee,South Carolina,SC
 45077,Pickens,South Carolina,SC
 45083,Spartanburg,South Carolina,SC
 45087,Union,South Carolina,SC
 47001,Anderson,Tennessee,TN
 47007,Bledsoe,Tennessee,TN
 47009,Blount,Tennessee,TN
 47011,Bradley,Tennessee,TN
 47013,Campbell,Tennessee,TN
 47015,Cannon,Tennessee,TN
 47019,Carter,Tennessee,TN
 47025,Claiborne,Tennessee,TN
 47027,Clay,Tennessee,TN
 47029,Cocke,Tennessee,TN
 47031,Coffee,Tennessee,TN
 47035,Cumberland,Tennessee,TN
 47041,DeKalb,Tennessee,TN
 47049,Fentress,Tennessee,TN
 47051,Franklin,Tennessee,TN
 47057,Grainger,Tennessee,TN
 47059,Greene,Tennessee,TN
 47061,Grundy,Tennessee,TN
 47063,Hamblen,Tennessee,TN
 47065,Hamilton,Tennessee,TN
 47067,Hancock,Tennessee,TN
 47073,Hawkins,Tennessee,TN
 47087,Jackson,Tennessee,TN
 47089,Jefferson,Tennessee,TN
 47091,Johnson,Tennessee,TN
 47093,Knox,Tennessee,TN
 47099,Lawrence,Tennessee,TN
 47101,Lewis,Tennessee,TN
 47105,Loudon,Tennessee,TN
 47111,Macon,Tennessee,TN
 47115,Marion,Tennessee,TN
 47107,McMinn,Tennessee,TN
 47121,Meigs,Tennessee,TN
 47123,Monroe,Tennessee,TN
 47129,Morgan,Tennessee,TN
 47133,Overton,Tennessee,TN
 47137,Pickett,Tennessee,TN
 47139,Polk,Tennessee,TN
 47141,Putnam,Tennessee,TN
 47143,Rhea,Tennessee,TN
 47145,Roane,Tennessee,TN
 47151,Scott,Tennessee,TN
 47153,Sequatchie,Tennessee,TN
 47155,Sevier,Tennessee,TN
 47159,Smith,Tennessee,TN
 47163,Sullivan,Tennessee,TN
 47171,Unicoi,Tennessee,TN
 47173,Union,Tennessee,TN
 47175,Van Buren,Tennessee,TN
 47177,Warren,Tennessee,TN
 47179,Washington,Tennessee,TN
 47185,White,Tennessee,TN
 51005,Alleghany,Virginia,VA
 51017,Bath,Virginia,VA
 51021,Bland,Virginia,VA
 51023,Botetourt,Virginia,VA
 51027,Buchanan,Virginia,VA
 51035,Carroll,Virginia,VA
 51045,Craig,Virginia,VA
 51051,Dickenson,Virginia,VA
 51063,Floyd,Virginia,VA
 51071,Giles,Virginia,VA
 51077,Grayson,Virginia,VA
 51089,Henry,Virginia,VA
 51091,Highland,Virginia,VA
 51105,Lee,Virginia,VA
 51121,Montgomery,Virginia,VA
 51141,Patrick,Virginia,VA
 51155,Pulaski,Virginia,VA
 51163,Rockbridge,Virginia,VA
 51167,Russell,Virginia,VA
 51169,Scott,Virginia,VA
 51173,Smyth,Virginia,VA
 51185,Tazewell,Virginia,VA
 51191,Washington,Virginia,VA
 51195,Wise,Virginia,VA
 51197,Wythe,Virginia,VA
 54001,Barbour,West Virginia,WV
 54003,Berkeley,West Virginia,WV
 54005,Boone,West Virginia,WV
 54007,Braxton,West Virginia,WV
 54009,Brooke,West Virginia,WV
 54011,Cabell,West Virginia,WV
 54013,Calhoun,West Virginia,WV
 54015,Clay,West Virginia,WV
 54017,Doddridge,West Virginia,WV
 54019,Fayette,West Virginia,WV
 54021,Gilmer,West Virginia,WV
 54023,Grant,West Virginia,WV
 54025,Greenbrier,West Virginia,WV
 54027,Hampshire,West Virginia,WV
 54029,Hancock,West Virginia,WV
 54031,Hardy,West Virginia,WV
 54033,Harrison,West Virginia,WV
 54035,Jackson,West Virginia,WV
 54037,Jefferson,West Virginia,WV
 54039,Kanawha,West Virginia,WV
 54041,Lewis,West Virginia,WV
 54043,Lincoln,West Virginia,WV
 54045,Logan,West Virginia,WV
 54049,Marion,West Virginia,WV
 54051,Marshall,West Virginia,WV
 54053,Mason,West Virginia,WV
 54047,McDowell,West Virginia,WV
 54055,Mercer,West Virginia,WV
 54057,Mineral,West Virginia,WV
 54059,Mingo,West Virginia,WV
 54061,Monongalia,West Virginia,WV
 54063,Monroe,West Virginia,WV
 54065,Morgan,West Virginia,WV
 54067,Nicholas,West Virginia,WV
 54069,Ohio,West Virginia,WV
 54071,Pendleton,West Virginia,WV
 54073,Pleasants,West Virginia,WV
 54075,Pocahontas,West Virginia,WV
 54077,Preston,West Virginia,WV
 54079,Putnam,West Virginia,WV
 54081,Raleigh,West Virginia,WV
 54083,Randolph,West Virginia,WV
 54085,Ritchie,West Virginia,WV
 54087,Roane,West Virginia,WV
 54089,Summers,West Virginia,WV
 54091,Taylor,West Virginia,WV
 54093,Tucker,West Virginia,WV
 54095,Tyler,West Virginia,WV
 54097,Upshur,West Virginia,WV
 54099,Wayne,West Virginia,WV
 54101,Webster,West Virginia,WV
 54103,Wetzel,West Virginia,WV
 54105,Wirt,West Virginia,WV
 54107,Wood,West Virginia,WV
 54109,Wyoming,West Virginia,WV
